この本には、詳しい説明は書かれていません。,There is no detailed explanation in this book.
入学式は、このホールで行われます。,The entrance ceremony will take place in this hall.
これは、世界でいちばん大きいダイヤモンドだと。,This is believed to be the biggest diamond in the world.
昔は、その考えが正しいと思われていた。,Such an idea used to be considered correct.
友達の赤ちゃんを抱っこしたら、泣かれてしまった。,"When I held my friend's baby, it cried."
雨に降られて、服が濡れてしまった。,My clothes got soaked in the rain.
父に死なれて、大学を続けられなくなりました。,I couldn't continue my university education after my father died.
ちょっと気分が悪いので、早く帰らせてください。,"Since I am not feeling very well, could I go home early?"
あなたの会社のお話を聞かせてください。,Please tell me about your company.
手を洗わせてください。,Could I wash my hands?
明日は早く出かけるから、もう寝ないと。,I must go to bed now since I will go early tomorrow morning.
試験まであと1ヶ月だ。頑張って勉強しないと。,There is only one month to go before the exam. I must concentrate on my study.
田中さんにメールの返信をしなくちゃ。,I must respond to Tanaka-san's message.
『あれ？ここにあったチョコレートは？』『あ、食べちゃった。いけなかった？』,"""Oh! What happened to the chocolate which was here?"" ""Oh, I ate it. I shouldn't have eaten it?"""
試験が終わった！今日は飲んじゃおう！,"Oh, the exam is over! I am going to have a drink!"
もしもし、すみません。車が混んじゃって。。。少し遅れます。,"Hello, the traffic is bad… I'll be a little late."
テストで間違ったとこるを、ノートに書いとこう。,I will make a note of what I did wrong in the test.
これ洗濯しといて。,Can you wash this?
トイレットペーパーがもうすぐなくなるから、買っとかないと。,We are running out of toilet paper. We'll have to buy some more.
一人っきり,Be completely alone
一人っきりのお正月,One person new year
二人っきりのお正月,Two people new year
友達がかいてくれた地図のとおりにきたが、道に迷った。,I got lost even though I followed the map my friend drew for me.
雪が降ってきた。予報どおりだ。,It's started snowing. The weather forecast was right.
先生が言ったとおり、試験は難しかった。,"As the teacher said, the exam was tough."
昨夜は、テレビをつけたまま寝てしまった。,I fell asleep with the TV on.
この野菜は、生のままで食べても美味しいですよ。,This vegetable tastes good raw.
窓を開けっぱなしで出てきた。,I left home with the windows open.
水を出しっぱなしにしないでください。,Please don't leave the water running.
二人っきりで話をしたいです。,I'd like to have a private talk with you.
彼ねあったのは１回っきりです。,I've met him only once.
怖がらないでください。,Please don't be afriad.
恥ずかしがらないで、前に出てきてください。,Please don't be shy and come up here.
田中さんが、あなたに会いたがっていましたよ。,Tanaka-san said he'd like to see you.
さむがり,be sensitive to the cold
暑がり,be sensitive to the heat
怖がり,be easily frightened
あのう、教科書を見せて欲しいんですが…。,Excuse me. Could I see your textbook?
あなたに教えてもらいたいことがあります。,I have something I would like you to explain to me.
彼はそのことについて知っているふりをしているが、本当は知らないと思う。,He pretends to know about it but I don't think he really does.
田中さんは独身のふりをしているが、結婚していて３人も子供がいる。,Tanaka-san looks like a single guy but in fact he is married with three kids.
あなたにとって、いちばん大切なものはなんですか。,What is the most important thing to you?
このあたりの人々にとっては、車は必需品です。,"For the people around here, cars are a necessity."
年のわりには若く見える。,He looks young for his age.
お金がないわりに、よく買い物をするね。,"Even though you say you have no money, you buy a lot, don't you?"
知っているくせに、教えてくれない。,"Even though he knows, he won't tell me."
元気なくせに、病気のふりをしている。,"Even though he's healthy, he pretends he is sick."
お化粧なんかしてはいけません。,You must not wear make-up.
納豆なんて嫌いだ。,I really hate natto.
「泣いてるの？』『泣いてなんかいないよ！』,"""Are you crying?"" ""I'm not crying!"""
日本語でスピーチなどできません。,There is no way that I can give a speech in Japanese.
先生のおかげで合格できました。,"Thanks to my teacher, I passed the exam."
日本へ来たおかげで、日本語が上手になった。,My Japanese improved as a result of coming to Japan.
バスが遅れたせいで、約束の時間に間に合わなかった。,I missed my appointment because the bus was late.
疲れたせいか、あたまが痛い。,"Perhaps it's because I am tired, but my head hurts."
車で来たので、ビールのかわりにジュースをください。,"Since I am driving, I will have juice instead of beer."
日曜日に働いたかわりに、今日休みを取りました。,I took the day off today in place of Sunday.
出張中の部長にかわって、私がご挨拶させていただけます。,Please allow me to say a few words on behalf of my division manager who is currently on a business trip.
野球にかわり、サッカーがさかんになってきた。,Soccer has overtaken baseball in popularity.
それは米粒くらいの大きさです。,It's about the size of a grain of rice.
この洗剤は、面白いほど汚れが落ちる。,This detergent removes stains so well. It's unbelievable.
飽きるほど食べた。,I ate so much that I don't want to see anymore food.
宿題が多すぎて、泣きたいくらいだ。,"I have so much homework, I want to cry."
若い人ほど朝寝坊をする。,Young people seem to oversleep more.
伝統的なものは、古いほど価値がある。,Traditional items have more value if they are older.
彼のことを知れば知るほど好きになる。,"The more I get to know him, the better I like him."
荷物は少ければ少ないほどいい。,"The less baggage you have, the better."
彼女くらい親切な人はいない。,There is no one as friendly as her.
今年ほど雪の降った年はなかった。,It has snowed more this year than in any other year.
君が謝ることはないよ。,There is no need to apologize.
来ることはありません。郵送でいいですよ。,You don't need to come. Just send it by post.
田中さんから電話があって、少し遅れるということです。,Tanaka-san called and he said he would be a little late.
試験の結果は70%、つまり合格ということだ。,"The results of the test were 70%. In other words, you passed."
暖かくして、ゆっくり休むことだ。,"You should keep warm, relax and rest."
無理をしないことです。,Don't push yourself too hard.
合格できたら、どんなに嬉しいことか。,How happy would I be if I passed!
何度注意したことか。,How many times have I warned you?
国へ帰るのは、来週だっけ？,"You said that you were going back to your country next week, didn't you?"
明日のパーティーのこと、話たっけ？,Did I tell you about tomorrow's party?
できるまで、やるしかない。,You must try until you get it.
直せないから、新しいのを買うしかなかった。,I had no choice but to buy a new one since it couldn't be fixed.
『田中さん、結婚してるんだって。』『へー、知らなかった。』,"""I just found out Tanaka-san is married!"" ""Is that so? I didn't know."""
試験の範囲は、教科書の最初から50ページまでだって。,The test will cover up to Page 50 in the textbook.
『どうして食べないの？』『だって、まずいんだもん。』,"""Why didn't you eat it?"" ""Because it tastes awful."""
今日の試験、できなかった…。勉強しなかったんだもん、仕方がない。,I didn't do well on the test today. I can't complain because I didn't study much.
父の兄、つまり私の叔父は、医者をしている。,"My father's elder brother, in other words, my uncle, is a doctor."
田中さんは、携帯もパソコンも持っていない。つまり、メールで連絡はできないのだ。,"Tanaka-san doesn't have a cell phone or a PC. In other words, we can't contact him by email."
隣の駅で事故があったらしい。そのために電車が遅れている。,It looks like there is an accident at the next station. The train is delayed because of that.
留学するつもりだ。そのために、バイトしてお金を貯めている。,I am planning to study abroad. I am saving money by working part-time.
父は、人の何倍も努力した。その結果、仕事で成功した。,"My father worked os much harder than anyone else. As a result, he has succeeded in his career."
３ヶ月ダイエットを続けた。その結果、5キロ痩せた。,"I continued to diet for three months. As a result, I lost 5 kilos."
来週、国に帰る予定です。なぜなら、親友の結婚式に出席するからです。,I am going back home next week to attend my best friend's wedding.
学校を変えた。なぜかというと、僕のレベルのクラスがなかったからだ。,I changed schools because there was no class available at my level.
彼は、勉強はもちろんスポーツも良くできる。,"He is not only a good student, he is a good athlete as well."
